run, time, tps, resp_time
res0, 10, 179.49, 197.83
res0, 20, 397.99, 97.49
res0, 30, 421.29, 90.22
res0, 40, 423.59, 87.22
res0, 50, 425.79, 88.24
res0, 60, 436.43, 85.18
res0, 70, 438.99, 85.95
res0, 80, 444.33, 89.23
res0, 90, 444.79, 85.08
res0, 100, 424.49, 83.39
res0, 110, 398.59, 89.07
res0, 120, 379.99, 92.30
res0, 130, 378.59, 92.74
res0, 140, 370.33, 93.10
res0, 150, 370.89, 91.14
res0, 160, 346.79, 154.82
res0, 170, 356.79, 100.97
res0, 180, 308.99, 114.39
res0, 190, 307.72, 114.46
res0, 200, 312.49, 116.15
res0, 210, 328.19, 111.68
res0, 220, 327.73, 111.38
res0, 230, 329.49, 104.07
res0, 240, 331.99, 108.29
res0, 250, 330.39, 112.52
res0, 260, 330.69, 105.54
res0, 270, 321.49, 115.18
res0, 280, 318.29, 121.23
res0, 290, 315.69, 112.42
res0, 300, 312.16, 113.23
res0, 310, 315.89, 112.56
res0, 320, 313.99, 114.29
res0, 330, 319.29, 111.22
res0, 340, 315.39, 115.46
res0, 350, 308.29, 118.33
res0, 360, 308.69, 119.57
res0, 370, 297.49, 123.10
res0, 380, 296.52, 124.69
res0, 390, 299.49, 119.25
res0, 400, 301.19, 120.87
res0, 410, 300.89, 122.36
res0, 420, 297.62, 121.01
res0, 430, 298.39, 119.64
res0, 440, 306.89, 116.22
res0, 450, 299.82, 120.94
res0, 460, 284.99, 184.83
res0, 470, 309.09, 116.15
res0, 480, 303.79, 121.89
res0, 490, 302.19, 117.87
res0, 500, 310.29, 117.87
res0, 510, 303.89, 117.83
res0, 520, 298.99, 118.01
res0, 530, 307.35, 115.63
res0, 540, 302.09, 119.72
res0, 550, 308.69, 110.29
res0, 560, 312.49, 118.54
res0, 570, 306.49, 117.94
res0, 580, 308.59, 116.81
res0, 590, 314.99, 111.52
res0, 600, 307.99, 121.01
res0, 610, 312.32, 114.84
res0, 620, 311.79, 110.02
res0, 630, 304.49, 119.57
res0, 640, 309.89, 118.57
res0, 650, 315.62, 115.80
res0, 660, 307.29, 116.67
res0, 670, 312.69, 118.04
res0, 680, 313.69, 114.63
res0, 690, 304.22, 120.25
res0, 700, 308.49, 119.14
res0, 710, 312.69, 113.57
res0, 720, 297.39, 119.25
res0, 730, 314.79, 116.19
res0, 740, 308.09, 117.34
res0, 750, 305.79, 120.80
res0, 760, 298.72, 169.97
res0, 770, 309.32, 117.73
res0, 780, 301.09, 123.91
res0, 790, 313.89, 114.66
res0, 800, 310.29, 119.43
res0, 810, 310.99, 122.14
res0, 820, 309.89, 118.08
res0, 830, 305.19, 116.15
res0, 840, 306.29, 117.27
res0, 850, 309.62, 117.34
res0, 860, 302.39, 120.00
res0, 870, 308.19, 116.36
res0, 880, 310.82, 119.54
res0, 890, 307.49, 116.32
res0, 900, 309.49, 112.52
res0, 910, 307.09, 114.63
